Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-7509.26,30.1907,-7539.45,113.612,0,0
100,-7506.25,40.6663,-7546.92,117.996,0,0
200,-7504.25,35.7456,-7539.99,129.274,0,0
300,-7501.25,23.9094,-7525.15,122.786,0,0
400,-7499.25,32.7728,-7532.02,117.365,0,0
500,-7496.25,40.6151,-7536.87,123.454,0,0
600,-7494.25,44.2293,-7538.48,133.228,0,0
700,-7491.26,47.9994,-7539.26,140.696,0,0
800,-7489.26,37.3649,-7526.62,144.712,0,0
900,-7486.26,46.3271,-7532.58,150.284,0,0
1000,-7484.26,42.232,-7526.49,163.261,0,0
1100,-7481.26,45.9173,-7527.18,165.525,0,0
1200,-7479.26,51.8429,-7531.1,170.429,0,0
1300,-7476.25,58.0183,-7534.27,177.3,0,0
1400,-7474.25,48.6855,-7522.94,182.056,0,0
1500,-7471.25,56.6678,-7527.92,187.823,0,0
1600,-7469.25,45.3963,-7514.65,190.665,0,0
1700,-7466.24,39.3488,-7505.59,180.408,0,0
1800,-7464.25,52.0708,-7516.32,183.627,0,0
1900,-7461.25,54.0468,-7515.29,187.574,0,0
2000,-7459.25,48.6171,-7507.86,185.455,0,0
2100,-7456.25,59.1224,-7515.37,186.147,0,0
2200,-7454.25,70.1019,-7524.36,220.191,0,0
2300,-7451.26,68.4386,-7519.7,226.327,0,0
2400,-7449.26,59.7095,-7508.97,220.594,0,0
2500,-7446.26,64.2389,-7510.5,235.427,0,0
2600,-7444.25,66.2305,-7510.48,236.784,0,0
2700,-7441.25,68.1785,-7509.43,232.126,0,0
2800,-7439.25,74.5256,-7513.78,255.54,0,0
2900,-7436.25,73.072,-7509.32,256.826,0,0
3000,-7434.24,70.9328,-7505.18,264.789,0,0
3100,-7431.24,55.6629,-7486.91,256.747,0,0
3200,-7429.24,41.4128,-7470.66,224.796,0,0
3300,-7426.25,73.4508,-7499.7,231.87,0,0
3400,-7424.25,67.2912,-7491.54,242.926,0,0
3500,-7421.25,76.3391,-7497.59,253.187,0,0
3600,-7419.25,101.191,-7520.44,285.821,0,0
3700,-7416.25,81.836,-7498.09,291.031,0,0
3800,-7414.26,86.044,-7500.3,290.631,0,0
3900,-7411.25,89.1997,-7500.45,288.08,0,0
4000,-7409.26,98.3177,-7507.58,305.419,0,0
4100,-7406.26,99.5488,-7505.8,312.256,0,0
4200,-7404.25,84.1927,-7488.44,322.341,0,0
4300,-7401.24,87.8694,-7489.11,322.462,0,0
4400,-7399.24,74.9928,-7474.23,321.495,0,0
4500,-7396.24,86.6004,-7482.84,314.777,0,0
4600,-7394.24,68.7828,-7463.02,289.627,0,0
4700,-7391.24,85.0535,-7476.3,306.503,0,0
4800,-7389.24,92.5898,-7481.83,311.273,0,0
4900,-7386.24,75.6488,-7461.89,313.984,0,0
5000,-7384.25,107.169,-7491.42,326.053,0,0
5100,-7381.25,97.2938,-7478.54,334.473,0,0
5200,-7379.25,99.9863,-7479.24,357.061,0,0
5300,-7376.25,100.221,-7476.47,359.266,0,0
5400,-7374.25,87.4702,-7461.72,366.55,0,0
5500,-7371.25,125.982,-7497.23,379.169,0,0
5600,-7369.24,95.5319,-7464.78,373.046,0,0
5700,-7366.24,92.7026,-7458.95,389.586,0,0
5800,-7364.24,94.4392,-7458.68,387.009,0,0
5900,-7361.24,103.11,-7464.35,379.398,0,0
6000,-7359.24,98.3988,-7457.64,375.189,0,0
6100,-7356.24,85.3641,-7441.6,368.01,0,0
6200,-7354.24,94.0639,-7448.3,356.347,0,0
6300,-7351.24,112.517,-7463.76,366.24,0,0
6400,-7349.25,121.059,-7470.31,391.132,0,0
6500,-7346.25,118.852,-7465.1,395.099,0,0
6600,-7344.25,115.596,-7459.84,413.835,0,0
6700,-7341.25,113.268,-7454.52,418.568,0,0
6800,-7339.25,105.88,-7445.13,425.645,0,0
6900,-7336.25,117.926,-7454.17,432.102,0,0
7000,-7334.24,124.074,-7458.31,449.544,0,0
7100,-7331.24,112.505,-7443.74,443.671,0,0
7200,-7329.24,107.004,-7436.24,440.124,0,0
7300,-7326.24,115.787,-7442.03,445.579,0,0
7400,-7324.24,113.069,-7437.31,438.259,0,0
7500,-7321.24,107.982,-7429.22,428.749,0,0
7600,-7319.24,114.909,-7434.15,424.831,0,0
7700,-7316.24,127.417,-7443.66,426.401,0,0
7800,-7314.24,115.127,-7429.36,439.117,0,0
7900,-7311.24,139.351,-7450.59,443.244,0,0
8000,-7309.24,140.253,-7449.49,475.813,0,0
8100,-7306.24,134.945,-7441.19,480.539,0,0
8200,-7304.24,136.781,-7441.02,490.926,0,0
8300,-7301.24,127.14,-7428.38,495.043,0,0
8400,-7299.24,148.735,-7447.98,505.864,0,0
8500,-7296.24,124.284,-7420.52,500.879,0,0
8600,-7294.24,130.581,-7424.82,493.371,0,0
8700,-7291.24,131.792,-7423.03,497.156,0,0
8800,-7289.24,141.19,-7430.43,503.088,0,0
8900,-7286.23,126.927,-7413.16,503.765,0,0
9000,-7284.23,128.225,-7412.46,495.257,0,0
9100,-7281.23,129.054,-7410.29,488.585,0,0
9200,-7279.24,124.083,-7403.32,494.197,0,0
9300,-7276.24,135.121,-7411.36,487.781,0,0
9400,-7274.24,143.48,-7417.72,507.109,0,0
9500,-7271.24,151.276,-7422.52,522.425,0,0
9600,-7269.24,153.222,-7422.46,542.815,0,0
9700,-7266.24,131.463,-7397.7,543.477,0,0
9800,-7264.24,162.621,-7426.86,567.438,0,0
9900,-7261.24,163.16,-7424.4,565.29,0,0
10000,-7259.24,159.432,-7418.67,562.957,0,0
10100,-7256.24,159.017,-7415.25,569.086,0,0
10200,-7254.24,152.678,-7406.91,582.347,0,0
10300,-7251.24,157.032,-7408.27,576.715,0,0
10400,-7249.24,141.387,-7390.62,588.471,0,0
10500,-7246.23,144.951,-7391.18,570.163,0,0
10600,-7244.23,149.263,-7393.5,557.314,0,0
10700,-7241.23,134.31,-7375.54,557.222,0,0
10800,-7239.23,151.831,-7391.06,554.964,0,0
10900,-7236.23,155.491,-7391.72,563.306,0,0
11000,-7234.23,163.148,-7397.38,573.101,0,0
11100,-7231.23,169.764,-7401,590.568,0,0
11200,-7229.23,143.776,-7373.01,584.839,0,0
11300,-7226.24,178.363,-7404.6,590.106,0,0
11400,-7224.24,161.042,-7385.28,607.031,0,0
11500,-7221.24,166.993,-7388.23,605.357,0,0
11600,-7219.24,174.059,-7393.3,622.435,0,0
11700,-7216.23,186.694,-7402.93,645.481,0,0
11800,-7214.24,180.656,-7394.89,668.84,0,0
11900,-7211.23,174.946,-7386.18,649.888,0,0
12000,-7209.23,166.894,-7376.13,653.984,0,0
12100,-7206.23,161.536,-7367.77,641.393,0,0
12200,-7204.23,161.476,-7365.7,634.132,0,0
12300,-7201.23,163.236,-7364.46,629.138,0,0
12400,-7199.23,166.768,-7366,636.068,0,0
12500,-7196.23,174.948,-7371.17,628.887,0,0
12600,-7194.23,171.134,-7365.36,645.083,0,0
12700,-7191.23,154.353,-7345.58,627.129,0,0
12800,-7189.23,182.745,-7371.98,624.421,0,0
12900,-7186.23,193.987,-7380.22,639.932,0,0
13000,-7184.23,195.228,-7379.46,670.298,0,0
13100,-7181.23,179.553,-7360.79,665.366,0,0
13200,-7179.23,189.391,-7368.62,673.994,0,0
13300,-7176.23,196.743,-7372.97,703.703,0,0
13400,-7174.23,170.268,-7344.5,688.028,0,0
13500,-7171.23,186.446,-7357.68,701.092,0,0
13600,-7169.23,193.387,-7362.62,696.251,0,0
13700,-7166.23,165.403,-7331.63,682.904,0,0
13800,-7164.23,188.882,-7353.11,690.45,0,0
13900,-7161.23,186.499,-7347.73,684.021,0,0
14000,-7159.23,173.746,-7332.97,676.594,0,0
14100,-7156.23,187.563,-7343.79,684.117,0,0
14200,-7154.23,193.219,-7347.45,706.733,0,0
14300,-7151.23,210.746,-7361.98,708.102,0,0
14400,-7149.23,211.737,-7360.97,741.914,0,0
14500,-7146.23,201.677,-7347.91,762.646,0,0
14600,-7144.23,216.278,-7360.51,774.89,0,0
14700,-7141.23,205.715,-7346.94,772.326,0,0
14800,-7139.23,200.678,-7339.91,776.299,0,0
14900,-7136.23,209.843,-7346.07,775.808,0,0
15000,-7134.22,183.21,-7317.43,762.743,0,0
15100,-7131.22,205.701,-7336.92,758.791,0,0
15200,-7129.22,195.799,-7325.02,760,0,0
15300,-7126.22,169.126,-7295.35,741.81,0,0
15400,-7124.22,183.557,-7307.77,704.793,0,0
15500,-7121.22,197.804,-7319.02,720.426,0,0
15600,-7119.22,219.491,-7338.71,736.593,0,0
15700,-7116.22,222.345,-7338.57,754.503,0,0
15800,-7114.22,196.239,-7310.46,763.048,0,0
15900,-7111.23,218.227,-7329.46,769.991,0,0
16000,-7109.23,232.051,-7341.28,790.835,0,0
16100,-7106.23,224.683,-7330.91,820.991,0,0
16200,-7104.23,231.694,-7335.92,827.124,0,0
16300,-7101.22,222.005,-7323.23,839.018,0,0
16400,-7099.22,211.074,-7310.3,825.881,0,0
16500,-7096.22,208.59,-7304.81,836.183,0,0
16600,-7094.22,220.728,-7314.95,825.153,0,0
16700,-7091.22,195.523,-7286.74,812.456,0,0
16800,-7089.22,216.722,-7305.94,805.945,0,0
16900,-7086.22,208.188,-7294.41,799.83,0,0
17000,-7084.22,214.642,-7298.86,791.851,0,0
17100,-7081.22,205.301,-7286.52,798.066,0,0
17200,-7079.22,217.912,-7297.13,796.097,0,0
17300,-7076.22,207.416,-7283.63,794.505,0,0
17400,-7074.22,224.812,-7299.03,804.195,0,0
17500,-7071.22,226.145,-7297.37,816.177,0,0
17600,-7069.22,234.353,-7303.57,838.154,0,0
17700,-7066.22,231.962,-7298.18,849.211,0,0
17800,-7064.22,237.544,-7301.77,864.546,0,0
17900,-7061.22,242.019,-7303.24,876.381,0,0
18000,-7059.22,232.219,-7291.44,880.048,0,0
18100,-7056.22,227.465,-7283.68,878.546,0,0
18200,-7054.22,231.271,-7285.49,873.331,0,0
18300,-7051.22,221.136,-7272.35,866.838,0,0
