Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress
0,-3351.41,13.5409,-3364.95,113.748,0
100,-3349.91,10.7608,-3360.67,109.749,0
200,-3348.9,15.93,-3364.83,109.945,0
300,-3347.41,13.2093,-3360.61,114.352,0
400,-3346.4,9.78306,-3356.19,106.874,0
500,-3344.9,12.453,-3357.36,102.507,0
600,-3343.9,10.9381,-3354.84,104.591,0
700,-3342.4,17.097,-3359.5,107.98,0
800,-3341.41,18.8904,-3360.3,120.204,0
900,-3339.91,17.0879,-3357,126.693,0
1000,-3338.91,14.1431,-3353.05,127.107,0
1100,-3337.41,20.6438,-3358.05,128.854,0
1200,-3336.41,22.4261,-3358.83,142.135,0
1300,-3334.9,21.5537,-3356.46,148.94,0
1400,-3333.9,16.1675,-3350.07,151.809,0
1500,-3332.4,20.0775,-3352.48,151.574,0
1600,-3331.4,12.904,-3344.3,144.254,0
1700,-3329.9,22.0116,-3351.92,144.599,0
1800,-3328.9,23.4892,-3352.39,163.392,0
1900,-3327.41,21.0519,-3348.46,168.852,0
2000,-3326.41,31.7148,-3358.12,184.43,0
2100,-3324.91,17.3637,-3342.27,183.978,0
2200,-3323.91,26.0028,-3349.91,185.919,0
2300,-3322.4,29.4238,-3351.83,196.423,0
2400,-3321.4,30.4704,-3351.87,210.149,0
2500,-3319.9,23.6926,-3343.59,210.797,0
2600,-3318.9,18.1782,-3337.08,197.775,0
2700,-3317.4,20.2887,-3337.69,193.032,0
2800,-3316.4,27.1453,-3343.55,193.826,0
2900,-3314.9,34.1398,-3349.04,211.406,0
3000,-3313.91,34.9706,-3348.88,227.439,0
3100,-3312.41,33.0874,-3345.49,233.788,0
3200,-3311.41,35.4418,-3346.85,241.372,0
3300,-3309.91,26.2557,-3336.16,241.814,0
3400,-3308.9,37.7675,-3346.67,255.654,0
3500,-3307.4,37.349,-3344.75,266.013,0
3600,-3306.4,21.9906,-3328.39,258.128,0
3700,-3304.9,27.0622,-3331.96,255.502,0
3800,-3303.9,30.0635,-3333.96,258.361,0
3900,-3302.4,31.7543,-3334.16,258.905,0
4000,-3301.4,39.2568,-3340.66,263.56,0
4100,-3299.91,32.7914,-3332.7,280.43,0
4200,-3298.91,37.0828,-3335.99,296.111,0
4300,-3297.41,39.6924,-3337.1,290.79,0
4400,-3296.41,40.2429,-3336.65,312.226,0
4500,-3294.9,47.5083,-3342.41,314.913,0
4600,-3293.9,38.3228,-3332.23,317.79,0
4700,-3292.4,33.6301,-3326.03,318.704,0
4800,-3291.4,29.8806,-3321.28,306.211,0
4900,-3289.9,35.5316,-3325.43,300.671,0
5000,-3288.9,34.0838,-3322.98,298.334,0
5100,-3287.4,41.6393,-3329.04,309.54,0
5200,-3286.4,53.3592,-3339.76,322.366,0
5300,-3284.9,45.511,-3330.42,347.62,0
5400,-3283.91,36.7649,-3320.67,358.281,0
5500,-3282.41,59.961,-3342.37,341.768,0
5600,-3281.4,36.0214,-3317.42,379.499,0
5700,-3279.9,64.028,-3343.93,390.836,0
5800,-3278.9,33.3087,-3312.21,385.424,0
5900,-3277.4,34.2735,-3311.67,371.106,0
6000,-3276.4,39.1256,-3315.52,352.27,0
6100,-3274.9,40.0837,-3314.98,349.008,0
6200,-3273.9,44.9732,-3318.87,343.74,0
6300,-3272.4,56.4773,-3328.88,376.223,0
6400,-3271.4,57.6567,-3329.06,397.34,0
6500,-3269.91,53.8752,-3323.78,412.264,0
6600,-3268.9,43.4925,-3312.4,406.789,0
6700,-3267.4,51.7482,-3319.15,410.333,0
6800,-3266.4,65.1702,-3331.57,439.082,0
6900,-3264.9,58.9291,-3323.83,447.707,0
7000,-3263.9,51.9941,-3315.89,447.27,0
