Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-191325,657.166,-191982,98.7198,4.63519e-05,0.1
100,-191322,646.909,-191969,97.1789,0.00252451,0.2
200,-191320,673.604,-191994,101.189,0.00345501,0.3
300,-191317,644.418,-191962,96.8046,0.00482509,0.4
400,-191314,615.541,-191930,92.4668,0.00539365,0.5
500,-191311,643.492,-191954,96.6656,0.0066848,0.6
600,-191306,713.246,-192019,107.144,0.00762552,0.7
700,-191302,652.432,-191954,98.0084,0.00641389,0.8
800,-191299,664.101,-191963,99.7615,0.00577595,0.9
900,-191296,738.913,-192035,111,0.00509043,1
1000,-191293,787.895,-192081,118.358,0.00368112,1.1
1100,-191292,701.918,-191994,105.442,0.00314158,1.2
1200,-191291,692.7,-191983,104.058,0.00210287,1.3
1300,-191290,720.668,-192011,108.259,0.00122809,1.4
1400,-191290,683.292,-191973,102.644,0.000636526,1.5
1500,-191290,787.851,-192078,118.351,-7.18277e-05,1.6
1600,-191290,685.521,-191975,102.979,-0.000576307,1.7
1700,-191291,743.099,-192034,111.629,-0.00039274,1.8
1800,-191290,667.017,-191957,100.199,0.00039854,1.9
1900,-191290,614.022,-191904,92.2387,0.000444907,2
2000,-191290,730.639,-192020,109.757,0.0011036,2.1
2100,-191288,727.236,-192015,109.246,0.00211787,2.2
2200,-191287,678.235,-191965,101.885,0.00186483,2.3
2300,-191286,735.09,-192021,110.425,0.00137986,2.4
2400,-191285,659.472,-191945,99.066,0.00236967,2.5
2500,-191283,721.92,-192005,108.447,0.00413738,2.6
2600,-191280,664.369,-191944,99.8015,0.00561101,2.7
2700,-191276,711.878,-191988,106.939,0.00681806,2.8
2800,-191271,597.564,-191869,89.7662,0.00771557,2.9
2900,-191266,681.023,-191947,102.304,0.00813795,3
3000,-191262,604.412,-191866,90.7948,0.00817031,3.1
3100,-191257,687.001,-191944,103.202,0.00823959,3.2
3200,-191252,675.536,-191928,101.479,0.00827168,3.3
3300,-191247,634.453,-191882,95.3076,0.00811368,3.4
3400,-191243,742.35,-191985,111.516,0.00743041,3.5
3500,-191239,671.991,-191911,100.946,0.00639994,3.6
3600,-191236,708.201,-191944,106.386,0.0062922,3.7
3700,-191233,731.634,-191964,109.906,0.00521642,3.8
3800,-191230,709.452,-191940,106.574,0.00461818,3.9
3900,-191228,721.847,-191950,108.436,0.00474052,4
4000,-191225,720.296,-191946,108.203,0.00437524,4.1
4100,-191223,680.486,-191903,102.223,0.00406254,4.2
4200,-191221,751.406,-191972,112.876,0.00345781,4.3
4300,-191219,693.707,-191913,104.209,0.00259909,4.4
4400,-191218,674.26,-191892,101.288,0.00198955,4.5
4500,-191217,690.16,-191908,103.676,0.00152821,4.6
4600,-191217,745.887,-191963,112.047,0.00147861,4.7
4700,-191215,720.489,-191936,108.232,0.00287519,4.8
4800,-191213,693.949,-191907,104.245,0.00364853,4.9
4900,-191211,703.41,-191914,105.667,0.00435728,5
5000,-191208,732.394,-191940,110.02,0.00534283,5.1
5100,-191204,702.526,-191907,105.534,0.00596398,5.2
5200,-191200,687.8,-191888,103.322,0.00685374,5.3
5300,-191196,659.697,-191855,99.0998,0.00773872,5.4
5400,-191191,675.097,-191866,101.413,0.00837001,5.5
5500,-191186,627.884,-191814,94.3208,0.0090229,5.6
5600,-191180,690.411,-191871,103.714,0.00891544,5.7
5700,-191176,646.17,-191822,97.0678,0.00887026,5.8
5800,-191170,681.409,-191852,102.362,0.00919734,5.9
5900,-191165,683.765,-191849,102.715,0.00889132,6
6000,-191160,641.791,-191802,96.41,0.00933943,6.1
6100,-191154,727.494,-191882,109.284,0.0095742,6.2
6200,-191149,765.503,-191915,114.994,0.0092161,6.3
6300,-191144,651.506,-191795,97.8691,0.00880799,6.4
6400,-191139,722.929,-191862,108.598,0.00818024,6.5
6500,-191135,794.574,-191930,119.361,0.00694014,6.6
6600,-191132,716.454,-191848,107.626,0.00528621,6.7
6700,-191130,719.84,-191850,108.134,0.0044298,6.8
6800,-191127,658.558,-191786,98.9289,0.00425391,6.9
6900,-191125,720.902,-191846,108.294,0.00417529,7
7000,-191123,758.6,-191881,113.957,0.00403379,7.1
7100,-191120,733.359,-191854,110.166,0.00395057,7.2
7200,-191118,688.231,-191806,103.386,0.00414761,7.3
7300,-191116,654.832,-191770,98.369,0.00438483,7.4
7400,-191113,678.884,-191792,101.982,0.00483456,7.5
7500,-191110,709.259,-191819,106.545,0.00559854,7.6
7600,-191106,780.147,-191886,117.194,0.00592186,7.7
7700,-191103,674.553,-191777,101.332,0.00644387,7.8
7800,-191099,687.805,-191786,103.322,0.00735292,7.9
7900,-191094,685.526,-191780,102.98,0.0079566,8
8000,-191089,618.878,-191708,92.9678,0.00895885,8.1
8100,-191084,742.807,-191826,111.585,0.00980871,8.2
8200,-191077,614.064,-191691,92.2447,0.0108926,8.3
8300,-191071,626.14,-191697,94.0589,0.0111295,8.4
8400,-191064,644.867,-191709,96.872,0.0113739,8.5
8500,-191057,686.097,-191744,103.066,0.0120662,8.6
8600,-191050,639.619,-191690,96.0837,0.0119065,8.7
8700,-191044,724.231,-191768,108.794,0.0107591,8.8
8800,-191039,709.765,-191748,106.621,0.00972691,8.9
8900,-191034,720.572,-191754,108.244,0.00902373,9
9000,-191029,717.25,-191746,107.746,0.00848595,9.1
9100,-191024,768.195,-191793,115.398,0.00777784,9.2
9200,-191020,675.586,-191696,101.487,0.00704377,9.3
9300,-191017,702.249,-191719,105.492,0.00621277,9.4
9400,-191014,780.009,-191794,117.173,0.00571409,9.5
9500,-191010,650.118,-191660,97.6608,0.00585566,9.6
9600,-191007,694.938,-191702,104.394,0.00595954,9.7
9700,-191004,786.372,-191790,118.129,0.00535268,9.8
9800,-191001,689.235,-191690,103.537,0.00447012,9.9
9900,-190999,665.304,-191664,99.9421,0.00440032,10
10000,-190996,761.553,-191758,114.401,0.0044013,10.1
10100,-190994,647.543,-191641,97.2742,0.00482486,10.2
10200,-190990,755.611,-191746,113.508,0.0060539,10.3
10300,-190986,644.84,-191631,96.868,0.00721501,10.4
10400,-190981,721.402,-191703,108.369,0.00876612,10.5
10500,-190975,665.588,-191641,99.985,0.00990908,10.6
10600,-190969,679.324,-191649,102.048,0.010253,10.7
10700,-190963,687.649,-191651,103.299,0.0111868,10.8
10800,-190956,587.58,-191544,88.2665,0.0113756,10.9
10900,-190950,681.071,-191631,102.311,0.0109826,11
11000,-190944,670.112,-191614,100.665,0.011465,11.1
11100,-190937,690.252,-191627,103.69,0.0118597,11.2
11200,-190930,715.371,-191646,107.463,0.0111177,11.3
11300,-190924,704.176,-191629,105.781,0.0108383,11.4
11400,-190918,643.502,-191562,96.6673,0.0104276,11.5
11500,-190912,701.064,-191614,105.314,0.0107308,11.6
11600,-190906,735.851,-191642,110.54,0.0106913,11.7
11700,-190900,726.195,-191627,109.089,0.00984306,11.8
11800,-190895,743.018,-191638,111.616,0.00934427,11.9
11900,-190890,748.701,-191639,112.47,0.00803211,12
12000,-190887,700.714,-191587,105.261,0.00646937,12.1
12100,-190884,643.191,-191527,96.6203,0.00562692,12.2
12200,-190881,754.212,-191635,113.298,0.00520648,12.3
12300,-190878,789.597,-191668,118.614,0.00528244,12.4
12400,-190875,649.278,-191524,97.5348,0.00561896,12.5
12500,-190871,690.509,-191562,103.728,0.00648777,12.6
12600,-190867,683.039,-191550,102.606,0.00684077,12.7
12700,-190863,696.456,-191559,104.622,0.00728039,12.8
12800,-190858,698.056,-191556,104.862,0.00767288,12.9
12900,-190854,707.637,-191562,106.302,0.00806451,13
13000,-190849,770.754,-191620,115.783,0.00879469,13.1
13100,-190843,620.046,-191463,93.1435,0.00951243,13.2
13200,-190838,767.572,-191605,115.305,0.0102434,13.3
13300,-190831,639.635,-191471,96.0861,0.0104037,13.4
13400,-190826,638.241,-191464,95.877,0.0105123,13.5
13500,-190819,716.239,-191536,107.594,0.0114102,13.6
13600,-190812,686.616,-191499,103.144,0.012247,13.7
13700,-190805,617.257,-191422,92.7244,0.0131779,13.8
13800,-190797,672.065,-191469,100.958,0.01366,13.9
13900,-190789,664.88,-191454,99.8784,0.0124735,14
14000,-190783,728.887,-191512,109.494,0.0118093,14.1
14100,-190776,774.845,-191551,116.397,0.0108419,14.2
14200,-190771,618.35,-191389,92.8887,0.00989667,14.3
14300,-190766,709.343,-191475,106.558,0.00912815,14.4
14400,-190761,709.709,-191471,106.613,0.00868071,14.5
14500,-190756,773.031,-191529,116.125,0.00838919,14.6
14600,-190751,665.196,-191417,99.9261,0.00792646,14.7
14700,-190747,735.56,-191483,110.496,0.00757513,14.8
14800,-190743,702.032,-191445,105.459,0.00749246,14.9
14900,-190739,667.418,-191406,100.26,0.00715212,15
15000,-190735,758.614,-191494,113.959,0.00678308,15.1
15100,-190731,702.705,-191434,105.561,0.00638577,15.2
15200,-190728,716.048,-191444,107.565,0.0065834,15.3
15300,-190724,649.427,-191373,97.5573,0.00725186,15.4
15400,-190719,798.298,-191518,119.921,0.00727468,15.5
15500,-190715,654.441,-191370,98.3103,0.00722215,15.6
15600,-190711,793.075,-191504,119.136,0.0084856,15.7
15700,-190705,645.519,-191350,96.9702,0.01022,15.8
15800,-190698,629.185,-191327,94.5166,0.0116888,15.9
15900,-190691,720.679,-191412,108.261,0.0123315,16
16000,-190684,706.68,-191390,106.158,0.0123739,16.1
16100,-190677,609.385,-191286,91.5418,0.012408,16.2
16200,-190670,700.038,-191370,105.16,0.0124688,16.3
16300,-190662,623.214,-191286,93.6193,0.0122996,16.4
16400,-190656,695.473,-191351,104.474,0.0120534,16.5
16500,-190649,727.018,-191376,109.213,0.0119113,16.6
16600,-190642,649.62,-191292,97.5862,0.0119658,16.7
16700,-190635,706.111,-191341,106.072,0.0119701,16.8
16800,-190629,694.348,-191323,104.305,0.0114266,16.9
16900,-190622,697.832,-191320,104.829,0.010613,17
17000,-190617,678.636,-191295,101.945,0.0102043,17.1
17100,-190611,757.755,-191369,113.83,0.00962516,17.2
17200,-190606,710.035,-191316,106.662,0.00917344,17.3
17300,-190601,692.94,-191294,104.093,0.00807319,17.4
17400,-190597,783.765,-191381,117.738,0.00756891,17.5
17500,-190593,715.31,-191308,107.454,0.00702843,17.6
17600,-190590,696.101,-191286,104.569,0.00630421,17.7
17700,-190586,707.385,-191293,106.264,0.00713203,17.8
17800,-190581,692.868,-191274,104.083,0.00818489,17.9
17900,-190576,653.429,-191230,98.1581,0.00860027,18
18000,-190571,742.58,-191314,111.551,0.00919431,18.1
18100,-190565,691.888,-191257,103.935,0.00908827,18.2
18200,-190561,735.665,-191296,110.512,0.00915813,18.3
18300,-190555,616.307,-191171,92.5817,0.0099434,18.4
18400,-190549,678.448,-191227,101.917,0.0101076,18.5
18500,-190543,670.706,-191214,100.754,0.0105669,18.6
18600,-190537,678.038,-191215,101.855,0.0111162,18.7
18700,-190530,642.709,-191173,96.5479,0.0118798,18.8
18800,-190523,724.714,-191248,108.867,0.0124702,18.9
18900,-190516,613.951,-191129,92.228,0.0123745,19
19000,-190509,684.849,-191194,102.878,0.0123001,19.1
19100,-190502,691.187,-191193,103.83,0.0122372,19.2
19200,-190495,683.519,-191178,102.678,0.0121742,19.3
19300,-190488,694.701,-191183,104.358,0.0114851,19.4
19400,-190482,684.117,-191166,102.768,0.0106355,19.5
19500,-190476,717.018,-191193,107.711,0.0102855,19.6
19600,-190471,782.101,-191253,117.488,0.00924719,19.7
19700,-190466,697.871,-191164,104.834,0.00837867,19.8
19800,-190461,671.83,-191133,100.923,0.00823796,19.9
19900,-190457,711.208,-191168,106.838,0.0081743,20
20000,-190452,711.019,-191163,106.81,0.00831113,20.1
20100,-190448,756.661,-191204,113.666,0.00780149,20.2
20200,-190443,624.948,-191068,93.8799,0.0072137,20.3
20300,-190440,751.058,-191191,112.824,0.00695019,20.4
20400,-190436,726.528,-191162,109.139,0.00698962,20.5
20500,-190431,704.148,-191136,105.777,0.007443,20.6
20600,-190427,667.781,-191095,100.314,0.00824681,20.7
20700,-190422,755.978,-191178,113.563,0.00918268,20.8
20800,-190416,664.903,-191081,99.8817,0.0093508,20.9
20900,-190411,658.609,-191069,98.9365,0.00995177,21
21000,-190405,739.686,-191144,111.116,0.0106392,21.1
21100,-190398,591.588,-190990,88.8687,0.0106218,21.2
21200,-190392,744.746,-191137,111.876,0.0113392,21.3
21300,-190385,649.266,-191034,97.5336,0.0118101,21.4
21400,-190378,738.695,-191117,110.966,0.0119274,21.5
21500,-190371,595.323,-190967,89.4283,0.0121982,21.6
21600,-190364,674.93,-191039,101.388,0.0121887,21.7
21700,-190358,746.281,-191104,112.105,0.0113353,21.8
21800,-190351,663.213,-191015,99.6285,0.0107523,21.9
21900,-190346,764.47,-191110,114.838,0.0101279,22
22000,-190340,682.518,-191023,102.526,0.00984597,22.1
22100,-190335,665.608,-191000,99.9868,0.00962166,22.2
22200,-190330,705.061,-191035,105.912,0.00854315,22.3
22300,-190325,774.007,-191099,116.266,0.00787651,22.4
22400,-190321,760.179,-191081,114.184,0.00748378,22.5
22500,-190317,732.157,-191049,109.971,0.00629144,22.6
22600,-190314,685.89,-191000,103.016,0.00565494,22.7
22700,-190311,767.046,-191078,115.202,0.00541878,22.8
22800,-190308,856.555,-191165,128.643,0.0048437,22.9
22900,-190306,859.052,-191165,129.026,0.00395112,23
23000,-190304,864.554,-191169,129.853,0.00394548,23.1
23100,-190302,875.955,-191178,131.568,0.00289945,23.2
23200,-190301,991.649,-191293,148.966,0.00253856,23.3
23300,-190299,888.04,-191187,133.389,0.00310389,23.4
23400,-190297,934.345,-191232,140.359,0.0029512,23.5
23500,-190296,927.535,-191223,139.333,0.00249966,23.6
23600,-190294,926.802,-191221,139.222,0.00254719,23.7
23700,-190293,933.5,-191226,140.226,0.00227704,23.8
23800,-190291,925.407,-191217,139.017,0.0020904,23.9
23900,-190290,855.532,-191145,128.522,0.00213141,24
24000,-190289,911.494,-191200,136.924,0.00200434,24.1
24100,-190288,937.657,-191225,140.849,0.00249463,24.2
