Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-25594.3,95.6592,-25690,106.481,1.00134e-05,0.05
100,-25594.2,89.0727,-25683.3,99.1505,-0.000511111,0.1
200,-25594.3,79.3153,-25673.6,88.2879,-0.00115239,0.15
300,-25594.5,87.1192,-25681.6,96.9745,-0.00156677,0.2
400,-25594.6,87.9973,-25682.6,97.9551,-0.00106,0.25
500,-25594.6,94.3906,-25688.9,105.07,0.000784986,0.3
600,-25594.3,84.8497,-25679.2,94.4527,0.00257518,0.35
700,-25594.1,96.5996,-25690.7,107.529,0.00506526,0.4
800,-25593.4,69.2862,-25662.7,77.1267,0.00743938,0.45
900,-25592.8,85.9876,-25678.8,95.7159,0.00751309,0.5
1000,-25592.3,66.5523,-25658.9,74.0815,0.00856499,0.55
1100,-25591.5,82.9211,-25674.5,92.3026,0.0106989,0.6
1200,-25590.8,86.5449,-25677.3,96.3365,0.00854304,0.65
1300,-25590.4,81.3643,-25671.8,90.5689,0.00589916,0.7
1400,-25590.1,96.7751,-25686.9,107.725,0.00448024,0.75
1500,-25589.9,87.6204,-25677.6,97.5329,0.00159373,0.8
1600,-25589.9,83.1267,-25673.1,92.5324,0.00185609,0.85
1700,-25589.8,88.3799,-25678.1,98.3782,0.00167651,0.9
1800,-25589.7,82.4397,-25672.1,91.7673,0.00211152,0.95
1900,-25589.4,100.889,-25690.3,112.305,0.00410446,1
2000,-25589,84.1488,-25673.1,93.6688,0.0051737,1.05
2100,-25588.5,79.5344,-25668.1,88.5344,0.00752185,1.1
2200,-25587.8,78.8449,-25666.6,87.764,0.00957315,1.15
2300,-25587,70.635,-25657.7,78.6273,0.0104522,1.2
2400,-25586.3,90.986,-25677.2,101.278,0.0106041,1.25
2500,-25585.5,90.1245,-25675.6,100.322,0.00961545,1.3
2600,-25584.9,77.2248,-25662.1,85.9638,0.00856427,1.35
2700,-25584.4,107.973,-25692.4,120.189,0.00640578,1.4
2800,-25584.1,78.9423,-25663,87.8747,0.00475652,1.45
2900,-25583.9,82.7424,-25666.6,92.1034,0.00388354,1.5
3000,-25583.6,88.1631,-25671.8,98.1376,0.00316174,1.55
3100,-25583.4,109.303,-25692.7,121.67,0.00294146,1.6
3200,-25583.2,80.6064,-25663.8,89.7272,0.0036053,1.65
3300,-25582.9,89.5838,-25672.4,99.7196,0.0055714,1.7
3400,-25582.3,69.4255,-25651.7,77.2805,0.00685126,1.75
3500,-25581.7,91.3868,-25673.1,101.728,0.00846383,1.8
3600,-25581,77.4425,-25658.4,86.2058,0.0102118,1.85
3700,-25580.2,77.2153,-25657.4,85.9549,0.0107212,1.9
3800,-25579.4,93.1201,-25672.6,103.655,0.010689,1.95
3900,-25578.7,77.0024,-25655.7,85.7137,0.0102629,2
4000,-25578,76.1915,-25654.2,84.8121,0.00810507,2.05
4100,-25577.7,109.255,-25686.9,121.616,0.00660923,2.1
4200,-25577.2,74.9306,-25652.1,83.4088,0.00552299,2.15
4300,-25576.9,74.7658,-25651.7,83.2223,0.00358889,2.2
4400,-25576.8,89.7835,-25666.6,99.9417,0.00223859,2.25
