Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress,Strain
0,-11104.6,42.0812,-11146.7,106.742,0.000163737,0.05
100,-11104.2,48.3603,-11152.5,122.664,0.00767496,0.1
200,-11104,35.7668,-11139.8,90.7246,0.00305012,0.15
300,-11104,52.9065,-11156.9,134.199,0.00212455,0.2
400,-11103.9,35.5998,-11139.5,90.3052,0.00418785,0.25
500,-11103.8,50.3357,-11154.1,127.678,0.00576552,0.3
600,-11103.6,46.7597,-11150.3,118.608,0.00714144,0.35
700,-11103.3,35.2604,-11138.6,89.4327,0.00916377,0.4
800,-11103,42.5075,-11145.5,107.827,0.0138009,0.45
900,-11102.5,33.4078,-11135.9,84.7336,0.0145426,0.5
1000,-11102.2,47.6749,-11149.9,120.937,0.00968524,0.55
1100,-11102,53.5088,-11155.5,135.725,0.00779717,0.6
1200,-11101.9,41.8332,-11143.7,106.112,0.00429442,0.65
1300,-11101.8,37.6363,-11139.5,95.4669,0.00354107,0.7
1400,-11101.7,47.5259,-11149.3,120.542,0.00369297,0.75
1500,-11101.6,32.756,-11134.4,83.0848,0.00459224,0.8
1600,-11101.4,40.0288,-11141.4,101.532,0.0119381,0.85
1700,-11100.9,43.8096,-11144.7,111.131,0.0149996,0.9
1800,-11100.5,43.0554,-11143.6,109.212,0.0116283,0.95
1900,-11100.2,44.3866,-11144.6,112.594,0.0124167,1
2000,-11099.9,39.4993,-11139.4,100.19,0.009595,1.05
2100,-11099.8,42.3693,-11142.2,107.472,0.00477193,1.1
2200,-11099.7,33.0848,-11132.8,83.9252,0.00198752,1.15
2300,-11099.8,54.1938,-11154,137.459,0.00280085,1.2
2400,-11099.6,31.4419,-11131,79.7569,0.00667661,1.25
2500,-11099.3,48.7268,-11148,123.597,0.0110347,1.3
2600,-11098.9,39.871,-11138.8,101.136,0.0133022,1.35
2700,-11098.5,38.9703,-11137.4,98.8602,0.0145488,1.4
2800,-11098.1,40.9415,-11139,103.85,0.0150651,1.45
2900,-11097.6,48.4812,-11146.1,122.973,0.01385,1.5
3000,-11097.4,39.8781,-11137.3,101.151,0.0084207,1.55
3100,-11097.3,42.7452,-11140.1,108.427,0.00427838,1.6
3200,-11097.2,41.9668,-11139.2,106.451,0.00550772,1.65
3300,-11097,52.3146,-11149.3,132.702,0.00835709,1.7
3400,-11096.7,42.8146,-11139.5,108.602,0.0110755,1.75
3500,-11096.3,29.8013,-11126.1,75.5912,0.0130601,1.8
3600,-11095.9,39.7084,-11135.6,100.725,0.0171337,1.85
3700,-11095.4,39.198,-11134.6,99.4197,0.0168894,1.9
3800,-11095,45.3527,-11140.3,115.044,0.0137701,1.95
3900,-11094.7,47.2652,-11142,119.894,0.0086171,2
4000,-11094.6,41.1609,-11135.8,104.407,0.004022,2.05
4100,-11094.6,38.3247,-11132.9,97.2091,0.00540684,2.1
4200,-11094.3,51.8133,-11146.2,131.429,0.00659077,2.15
4300,-11094.2,37.9349,-11132.1,96.2146,0.00735766,2.2
4400,-11093.9,38.1377,-11132,96.7307,0.0136635,2.25
4500,-11093.3,33.7479,-11127.1,85.5989,0.0169477,2.3
4600,-11092.8,51.7201,-11144.5,131.185,0.0180914,2.35
4700,-11092.4,42.5927,-11135,108.043,0.0131075,2.4
4800,-11092.2,49.6239,-11141.8,125.869,0.0103009,2.45
4900,-11091.9,25.3928,-11117.3,64.4108,0.00759991,2.5
5000,-11091.8,60.0948,-11151.9,152.419,0.00708072,2.55
5100,-11091.6,38.5137,-11130.1,97.6943,0.00678102,2.6
5200,-11091.4,50.7291,-11142.2,128.672,0.00850563,2.65
5300,-11091,29.2867,-11120.3,74.2881,0.0152014,2.7
5400,-11090.5,39.254,-11129.8,99.5643,0.0160245,2.75
5500,-11090.1,50.412,-11140.5,127.863,0.0175151,2.8
5600,-11089.6,54.3924,-11143.9,137.968,0.0162451,2.85
5700,-11089.2,47.8437,-11137.1,121.345,0.012554,2.9
5800,-11088.9,26.5659,-11115.5,67.3872,0.0113231,2.95
5900,-11088.7,54.931,-11143.6,139.322,0.00719302,3
6000,-11088.6,45.9181,-11134.5,116.484,0.00830447,3.05
6100,-11088.2,44.2786,-11132.5,112.314,0.0127289,3.1
6200,-11087.8,35.1728,-11123,89.2221,0.0148509,3.15
6300,-11087.3,30.2193,-11117.6,76.6529,0.0162976,3.2
6400,-11086.9,49.2542,-11136.2,124.94,0.0149771,3.25
6500,-11086.5,37.7415,-11124.3,95.7359,0.0157891,3.3
6600,-11086.1,52.6693,-11138.7,133.585,0.0138703,3.35
6700,-11085.9,43.8486,-11129.7,111.232,0.00641601,3.4
6800,-11085.8,38.3408,-11124.1,97.2502,0.00809376,3.45
6900,-11085.5,32.2848,-11117.7,81.8948,0.00949781,3.5
7000,-11085.3,60.0329,-11145.3,152.282,0.0102361,3.55
7100,-11084.8,36.4223,-11121.3,92.3902,0.0153744,3.6
7200,-11084.3,37.143,-11121.5,94.2207,0.0170749,3.65
